,GICS Sector,GICS Sub-Industry,Name,open,high,low,close,daily_gain,daily_volatility,daily_gain%,volatility%
108,Energy,Integrated Oil & Gas,XOM,87.65259729944401,88.23716870532164,87.0517309769659,87.66844718030194,0.0158498808578236,1.1854377283558382,0.018364507275453055,1.3654733711044078
172,Financials,Property & Casualty Insurance,CINF,59.40967037331218,59.7856670373311,58.99979714058778,59.41681493248608,0.007144559173947423,0.7858698967434476,0.01821798109502713,1.3219442280745097
402,Real Estate,Specialized REITs,EXR,66.68265289912628,67.28864988085786,66.05363653693422,66.69532168387609,0.012668784749801635,1.2350133439237483,0.018196802530669326,1.824124542475699
357,Materials,Construction Materials,MLM,155.58182208101678,157.40523558379675,153.7013324860999,155.6135980937252,0.03177601270849864,3.7039030976965814,0.018123265098075162,2.4055086127835588
341,Information Technology,Semiconductors,MCHP,54.41622446386022,54.91582176330423,53.881950198570316,54.424015091342326,0.007790627482128718,1.0338715647339143,0.018056431992004088,1.9169319806219338
17,Communication Services,Publishing,NWS,14.795106928999132,14.944982378100942,14.636796749358412,14.797733105218146,0.002626176218990566,0.30818562874251454,0.01804739357904697,2.110812219934738
354,Information Technology,"Technology Hardware, Storage & Peripherals",STX,44.42828038125496,45.033335980937274,43.81306068308179,44.43795313741064,0.009672756155679058,1.2202752978554412,0.017984632599542933,2.854261453140743
45,Consumer Discretionary,General Merchandise Stores,TGT,67.82820865766487,68.39793200953136,67.25355639396349,67.84036536934072,0.01215671167593331,1.1443756155679108,0.017648129212344654,1.6896595073385758
136,Financials,Consumer Finance,AXP,78.60554344718015,79.16633463065922,78.05201342335184,78.61601270849873,0.010469261318506801,1.114321207307387,0.017646499047660982,1.4352272498321224
329,Information Technology,IT Consulting & Other Services,IBM,167.2308706910246,168.36292764098474,166.15624749801412,167.26192613185083,0.031055440826052036,2.2066801429706104,0.017624979276935942,1.332982601708045
204,Health Care,Health Care Equipment,DHR,81.42052328767116,81.9235481869459,80.90926204673646,81.43746978243351,0.016946494762288315,1.0142861402095078,0.017218783890264704,1.2496310579387135
369,Materials,Paper Packaging,PKG,74.85273232724377,75.55193812549659,74.10657513899909,74.86203733121519,0.009305003971406016,1.4453629864972228,0.017181678023877635,1.9805793322286311
260,Industrials,Building Products,FAST,45.55084193804608,45.985378872120755,45.09045448768861,45.55820969023036,0.007367752184273213,0.8949243844320901,0.016928882415217072,1.9708728461259133
360,Materials,Diversified Chemicals,EMN,77.25501985702942,77.97126147736299,76.52411906274827,77.26507545671188,0.010055599682287426,1.4471424146147729,0.016491893399853106,1.9070382295087949
67,Consumer Discretionary,Restaurants,SBUX,48.34429602859411,48.717212152501965,47.95682668784756,48.35224583002383,0.00794980142970611,0.7603854646544869,0.016091661557634696,1.5763958868591785
281,Industrials,Industrial Machinery,FLS,54.37223232724384,54.91761612390792,53.81452922954726,54.37670643367757,0.004474106433677482,1.1030868943606023,0.015865209521644455,2.078519315423736
73,Consumer Discretionary,Specialty Stores,TSCO,72.85134233518666,73.5932196187451,72.07971509134234,72.85973312152504,0.008390786338363878,1.5135045274026997,0.0157115795607423,2.0855492652224936
196,Health Care,Health Care Distributors,HSIC,69.89021644162035,70.41756147736295,69.31615123113592,69.89932883240661,0.009112390786338593,1.1014102462271629,0.015491266265006534,1.567349544273965
53,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",CCL,47.59571088165206,47.98765409054802,47.19746759332805,47.59809372517871,0.0023828435266084083,0.7901864972200164,0.015368228848374804,1.6712475096125434
254,Industrials,Airlines,ALK,61.7638582208102,62.52695051628281,60.97166640190629,61.767065131056555,0.003206910246226917,1.5552841143764906,0.015213683437472382,2.569099839968952
69,Consumer Discretionary,Specialty Stores,AZO,619.6706155679116,624.9363382843527,614.2743500397139,619.7036536934078,0.033038125496425805,10.661988244638618,0.014943767938921278,1.7173494984973765
131,Financials,Asset Management & Custody Banks,BLK,348.57791104050796,351.44751080222403,345.58659507545707,348.6289674344722,0.05105639396346282,5.860915726767284,0.014721679883517103,1.7192319272892962
22,Consumer Discretionary,Apparel Retail,ROST,49.9055961080222,50.35557323272436,49.45476814932487,49.91224821286734,0.0066521048451153005,0.9008050833995248,0.014153419020275738,1.7971584677113164
399,Real Estate,Specialized REITs,CCI,85.13040826052423,85.79093725178704,84.46941374106437,85.1435941223193,0.01318586179507531,1.3215235107227938,0.013958217310602913,1.5573029169312815
110,Energy,Oil & Gas Equipment & Services,HAL,46.96718752978554,47.541058538522634,46.38684305003973,46.9683717235902,0.0011841938046067715,1.1542154884829208,0.013043579289746468,2.5246636234909605
122,Energy,Oil & Gas Refining & Marketing,MPC,46.0801089753773,46.70937903097701,45.450304845115184,46.086600476568684,0.00649150119142196,1.2590741858617946,0.01299329130570747,2.811906299327037
